Date	Open	High	Low	Close	Volume
8/29/2017	30.75	31.53	30.7	31.48	23151900
8/30/2017	31.65	31.68	31.38	31.61	17467900
8/31/2017	31.61	32.02	31.48	31.97	25694000
9/1/2017	32.13	32.88	32.13	32.6	26034000
9/5/2017	32.45	32.74	31.65	32.07	28866600
9/6/2017	32.07	32.7	32.06	32.25	29290200
9/7/2017	32.47	32.9	32.45	32.79	25353300
9/8/2017	32.8	33.02	32.31	32.45	19649300
9/11/2017	32.9	33.44	32.81	33.44	31012100
9/12/2017	33.69	34.54	33.56	34.29	38685800
9/13/2017	34.56	34.8	34.02	34.59	41588100
9/14/2017	34.43	34.85	34.3	34.58	23007000
9/15/2017	34.64	35	34.38	34.65	37417300
9/18/2017	35.13	35.8	35.02	35.43	41330100
9/19/2017	35.5	36.1	35.5	35.95	26392200
9/20/2017	36.03	36.6	35.34	35.97	42243000
9/21/2017	35.93	36.25	35.4	35.91	22464900
9/22/2017	35.6	36.22	35.6	36.07	21559800
9/25/2017	36.04	36.15	34.54	34.87	35607200
9/26/2017	35.23	35.37	34.09	34.18	55112600
9/27/2017	36.26	37.15	35.92	37.09	84593900
9/28/2017	37.15	38.46	36.82	37.96	52569900
9/29/2017	37.98	39.36	37.81	39.33	48711400
10/2/2017	39.6	40.37	39.36	40.01	54244800
10/3/2017	39.93	40.54	39.85	40.37	27322300
10/4/2017	40.14	40.43	38.91	39.56	37908400
10/5/2017	39.8	39.86	39.25	39.37	22501000
10/6/2017	39	39.67	38.81	39.67	25150300
10/9/2017	39.72	40.99	39.62	40.96	27279300
10/10/2017	41.45	42	40.46	41.98	48214100
10/11/2017	40.84	42.07	40.8	41.61	53023600
10/12/2017	41.21	41.75	40.29	40.58	66789800
10/13/2017	40.78	41.17	40.32	40.4	35371200
10/16/2017	40.88	41.57	40.51	41.49	33696800
10/17/2017	41.14	41.4	40.25	40.39	41233700
10/18/2017	41.04	41.95	40.81	41.65	43528000
10/19/2017	41.18	41.5	39.8	41.31	47676000
10/20/2017	42	42.17	41.44	41.5	36293700
10/23/2017	41.85	42.19	41.4	41.56	26844200
10/24/2017	41.74	42.01	41.43	41.6	26299400
10/25/2017	41.31	41.59	40.31	41.06	31061100
10/26/2017	41.17	41.18	40.31	40.6	27453500
10/27/2017	40.59	40.94	40.04	40.85	31094700
10/30/2017	40.73	41.86	40.68	41.65	29119500
10/31/2017	42.25	44.57	42.2	44.31	61972200
11/1/2017	44.79	45.33	43.78	44.38	38842900
11/2/2017	44.08	44.75	43.72	44.34	25813000
11/3/2017	44.77	45	43.35	43.71	27694600
11/6/2017	43.85	44.01	42.45	43.25	28841000
11/7/2017	43.58	44.24	43.33	43.95	32422900
11/8/2017	43.85	44.14	43.45	44.09	19519600
11/9/2017	43.69	43.69	42.58	43.5	32501100
11/10/2017	43.76	44.85	43.71	44.78	33840800
11/13/2017	44.33	45.87	44.19	45.6	30522300
11/14/2017	45.58	46	44.8	45.8	29899200
11/15/2017	45.19	45.74	44.62	45.36	22434500
11/16/2017	45.73	46.29	45.29	46.18	24192600
11/17/2017	46.54	46.55	45.73	46.16	22613300
11/20/2017	46.51	47.86	46.4	47.64	26975000
11/21/2017	48.36	49.63	48.15	49.4	35756600
11/22/2017	49.85	49.89	48.62	49.14	28711800
11/24/2017	49.32	49.88	49.03	49.68	14203300
11/27/2017	47.96	48.39	47.09	48.05	44469700
11/28/2017	48.45	48.86	47.82	47.93	30633200
11/29/2017	47.5	47.6	43.27	43.74	81370100
11/30/2017	44.16	44.54	41.86	42.39	63895700
12/1/2017	41.73	42.55	40.01	41.99	73138600
12/4/2017	41.95	42.29	39.07	39.9	73640500
12/5/2017	39.77	42.05	39.42	41.21	56540700
12/6/2017	40.82	41.74	40.3	41.58	39735300
12/7/2017	42.18	43.23	41.91	43.2	43189000
12/8/2017	44.04	44.58	42.87	43.21	44717800
12/11/2017	43.42	43.75	42.33	43.01	32824000
12/12/2017	42.69	42.85	41.71	41.86	28492300
12/13/2017	42.22	43.1	41.97	42.05	28565600
12/14/2017	42.29	42.73	41.88	42.24	24582800
12/15/2017	42.3	42.56	41.89	42.4	58721700
12/18/2017	43.37	43.73	42.99	43.71	35075500
12/19/2017	44.09	44.34	43.3	43.98	51048300
12/20/2017	46.65	46.8	44.86	45.75	84338200
12/21/2017	45.55	45.58	44.35	44.42	50486100
12/22/2017	44.18	44.94	43.94	44.12	30372500
12/26/2017	43.19	43.2	41.52	42.25	41966200
12/27/2017	42.22	43.07	42.03	42.48	24175100
12/28/2017	42.83	43.05	41.75	41.81	28999700
12/29/2017	41.82	41.84	40.77	41.12	44642100
1/2/2018	41.54	43.72	41.19	43.67	37097000
1/3/2018	44.5	45.05	44.05	44.98	43376700
1/4/2018	45.99	46.98	45.01	46.88	52229500
1/5/2018	46.13	46.66	45.38	45.8	47381100
1/8/2018	45.31	46.09	44.91	45.55	32217400
1/9/2018	45.27	45.55	42.77	42.97	62982900
1/10/2018	41.95	43.37	41.39	43.31	53348000
1/11/2018	43.52	44	42.62	42.82	39402200
1/12/2018	42.82	43.35	42.68	42.81	28458500
1/16/2018	43.14	43.86	42.42	42.92	38174800
1/17/2018	43.21	44.38	42.98	44.26	38077100
1/18/2018	44.21	44.65	43.91	43.99	25152100
1/19/2018	43.95	44.2	42.65	42.75	41469200
1/22/2018	42.47	42.88	41.68	42.88	37879400
1/23/2018	43.25	44.66	42.73	43.95	41334100
1/24/2018	43.76	43.95	42.74	43.08	31305700
1/25/2018	44.23	44.72	42.86	43.01	40519200
1/26/2018	43.22	43.81	43.03	43.67	27177500
1/29/2018	43.25	43.42	42.38	43.29	29455000
1/30/2018	41.99	42.8	41.47	41.67	38861900
1/31/2018	42.98	43.96	42.77	43.72	45114600
2/1/2018	43.04	44.09	42.1	42.49	35713500
2/2/2018	42	42.21	40.61	40.82	40657400
2/5/2018	40.14	41.53	39.01	39.4	45796800
2/6/2018	40.55	43.93	40.55	43.88	66972800
2/7/2018	43.26	43.56	41.74	42.01	51354800
2/8/2018	42.52	43.03	40	40	53794100
2/9/2018	41.05	41.19	37.52	40.41	65189300
2/12/2018	41.01	42.68	40.88	42.19	47941100
2/13/2018	42.05	42.92	41.98	42.63	30296800
2/14/2018	41.93	43.63	41.93	43.45	36765900
2/15/2018	43.73	43.92	42.26	43.5	35072300
2/16/2018	43.29	45.11	43.13	44.21	49404600
2/20/2018	44.02	45.27	43.9	44.9	36215900
2/21/2018	45.37	45.55	44.52	44.54	31618700
2/22/2018	44.78	44.83	44.04	44.25	24359600
2/23/2018	45.18	46.8	45.02	46.53	48476700
2/26/2018	46.97	48.23	46.7	47.98	41966100
2/27/2018	47.66	48.99	47.42	48.58	44731100
2/28/2018	48.8	49.46	48.35	48.81	45031400
3/1/2018	48.77	48.81	46.77	47.62	61278800
3/2/2018	46.36	49.25	45.95	49.11	52492900
3/5/2018	48.8	52.36	48.72	52.03	70984100
3/6/2018	53.4	54.64	53.21	53.74	73096300
3/7/2018	53.34	55	53.13	53.97	61670000
3/8/2018	54.59	55.47	54.3	55.22	51685900
3/9/2018	55.76	55.83	53.62	54.59	65504600
3/12/2018	56.5	61.17	56.35	59.37	138651600
3/13/2018	62.17	63.42	58.52	59.43	142315800
3/14/2018	59.32	60.06	57.56	59.78	80306900
3/15/2018	59.77	60.15	58.23	58.84	50963700
3/16/2018	60	60.69	59.21	60.58	69323100
3/19/2018	60.36	60.99	58.75	60.14	71373300
3/20/2018	60.1	61.25	59.8	61.15	53890500
3/21/2018	61.35	61.72	60.6	61.07	51220200
3/22/2018	60.07	60.3	58.11	58.92	74274700
3/23/2018	57.69	58.8	53.68	54.21	118369500
3/26/2018	56.26	56.71	52.72	55.56	70260700
3/27/2018	55.06	55.47	51.68	52.4	67785100
3/28/2018	51.93	53.35	50.7	51.49	62987500
3/29/2018	52.16	52.68	51.14	52.14	61458800
4/2/2018	51.54	51.72	49.56	50.06	59875500
4/3/2018	50.8	51.77	50.32	51.55	52436400
4/4/2018	49.62	53.5	49.26	53.39	60272800
4/5/2018	52.06	52.2	49.19	49.84	89203500
4/6/2018	47.72	50.48	47.26	48.46	79392200
4/9/2018	49.13	49.83	47.92	47.96	50532900
4/10/2018	49.25	50.75	48.64	50.48	50346500
4/11/2018	50.28	51.8	50.11	50.48	38942200
4/12/2018	51.12	52.92	51.1	52.59	46656300
4/13/2018	53.4	53.49	51.58	52.23	43598900
4/16/2018	52.25	52.48	51.32	51.65	30879500
4/17/2018	51.85	52.7	51.74	52.26	33325300
4/18/2018	51.45	54.27	50.68	54.01	55393600
4/19/2018	52.9	54.1	50.98	51.42	52635000
4/20/2018	51.5	52.07	50.15	50.62	38510800
4/23/2018	50.81	50.88	48.81	49.02	43693000
4/24/2018	49.66	50.26	46.44	47.11	61915400
4/25/2018	47.56	48.34	46.08	47.6	43781200
4/26/2018	49.28	50.18	48.83	50.14	39041400
